text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"@BofA_Help gonna do this, @BoFA gonna do that.... @BofA_Help ain't going do nothing",FALSE,0,BofA_Help,1/2/2015 14:39,FALSE,NA,5.51E+17,18735040,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",easyerik08,0,FALSE,FALSE,NA,NA
@winesgood @bofa @BofA_Help BofA has found themselves in the middle of a transaction gone bad (fraud IMHO) and they're t,FALSE,0,winesgood,12/26/2014 8:28,FALSE,NA,5.48E+17,177805944,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",tumybuwuhoco,0,FALSE,FALSE,NA,NA
@MelissaLeeCNBC VKON™ Ratings (58) @AskCiti; 50M+ Viewers via @carmenelectra and @CarlosMBorbon Interface Project:https://t.co/gaUFhHiAr6,FALSE,0,MelissaLeeCNBC,1/2/2015 19:38,FALSE,5.50E+17,5.51E+17,1347071545,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",emmanuelheifa,0,FALSE,FALSE,NA,NA
@Citibank have a good weekend @AskCiti,FALSE,0,Citibank,1/2/2015 19:35,FALSE,NA,5.51E+17,80374332,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",jhshifris11,0,FALSE,FALSE,NA,NA
"@AskCiti I got it. it doesn't allow login with saved user credentials, even on private machine. option to change that?",FALSE,0,AskCiti,1/2/2015 18:42,FALSE,5.51E+17,5.51E+17,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",hors_doeuvre,0,FALSE,FALSE,NA,NA
TY for contacting us! #custserv RT @lucky134me I received #awesome #customerservice again from @AskCiti   Thank you again!,FALSE,0,NA,1/2/2015 18:36,FALSE,NA,5.51E+17,NA,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AskCiti,0,FALSE,FALSE,NA,NA
"@AskCiti graphics loaded, ""sign on"" button has no effect.",FALSE,0,AskCiti,1/2/2015 18:28,FALSE,5.51E+17,5.51E+17,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",hors_doeuvre,0,FALSE,FALSE,NA,NA
I received #awesome #customerservice again from @AskCiti   Thank you again!,FALSE,0,NA,1/2/2015 18:27,FALSE,NA,5.51E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lucky134me,0,FALSE,FALSE,NA,NA
"I""m amazed that @Citi bank has such a low quality dysfunctional website.. requests always stuck in circular loop @AskCiti",FALSE,0,NA,1/2/2015 17:39,FALSE,NA,5.51E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",travel_brevity,0,FALSE,FALSE,NA,NA
@AskCiti thank you,FALSE,0,AskCiti,1/2/2015 16:01,FALSE,5.51E+17,5.51E+17,82151473,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bolad,0,FALSE,FALSE,-72.98023162,41.54579805
