"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@askRegions need info to file a dispute due 2 fraud on my acct from @amazon @AmazonHelp unaware of reoccurring monthly fees I didn't approve",FALSE,0,"askRegions",2015-01-14 19:44:50,FALSE,NA,"555450488364101632","402318272","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","therealdubwhite",0,FALSE,FALSE,NA,NA
"@askRegions no thanks. Wasted enuf time trying to reach one of you inconsiderate folk on the phone already today. Closing accts asap",FALSE,0,"askRegions",2015-01-14 19:18:49,FALSE,"555443694384742400","555443939969597440","402318272","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CReh7",0,FALSE,FALSE,NA,NA
"@askRegions has the worst customer service in the biz. #switch",FALSE,0,"askRegions",2015-01-14 19:11:11,FALSE,NA,"555442018818985984","402318272","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CReh7",0,FALSE,FALSE,NA,NA
"@askRegions and why is the wait on the phone so long ?",FALSE,0,"askRegions",2015-01-14 18:50:51,FALSE,NA,"555436900463308800","402318272","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LEROJ_",0,FALSE,FALSE,NA,NA
"@askRegions I have money on my account but my card gets declined, why?",FALSE,0,"askRegions",2015-01-14 18:48:34,FALSE,NA,"555436326527324161","402318272","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LEROJ_",0,FALSE,FALSE,NA,NA
"RT @TuscaloosaHalf: Thanks to @askRegions for being the Official Bank Sponsor of #THM15!",FALSE,0,NA,2015-01-14 18:44:36,FALSE,NA,"555435328476311552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leetaylor16",2,TRUE,FALSE,NA,NA
"RT @TuscaloosaHalf: Thanks to @askRegions for being the Official Bank Sponsor of #THM15!",FALSE,0,NA,2015-01-14 18:40:06,FALSE,NA,"555434197947789312",NA,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","askRegions",2,TRUE,FALSE,NA,NA
"Thanks to @askRegions for being the Official Bank Sponsor of #THM15!",FALSE,2,NA,2015-01-14 18:25:18,FALSE,NA,"555430472810266624",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TuscaloosaHalf",2,FALSE,FALSE,NA,NA
"I'm at Regions Bank - @askregions in Nashville, TN https://t.co/Ls2hAaZOg4",FALSE,0,NA,2015-01-14 15:46:56,FALSE,NA,"555390615685705729",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","AlisonSlamon",0,FALSE,FALSE,"-86.74324083","36.04095357"
"@askRegions :Kindly retweet this amazing Google-patent pending lock screen app :https://t.co/rEl6Us6bB0

Video :https://t.co/hpQuI7JEUu",FALSE,0,"askRegions",2015-01-14 13:48:34,FALSE,NA,"555360829034356736","402318272","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sanjose5005",0,FALSE,FALSE,NA,NA
"RT @askRegions: Good credit looks great on you. Pay bills and cards in full, pay on time, check your credit report. #RealisticFinancialReso…",FALSE,0,NA,2015-01-14 12:40:29,FALSE,NA,"555343697752358913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gervonte1",1,TRUE,FALSE,NA,NA
"@askRegions Why is the online banking not even functionable for 4 hours after midnite??? It's bad business",FALSE,0,"askRegions",2015-01-14 08:07:54,FALSE,NA,"555275097477373953","402318272","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skippyboy5555",0,FALSE,FALSE,NA,NA
"RT @Muzixity: @DCXVindustries saw your banner @askRegions #Bordeaux",FALSE,0,NA,2015-01-14 04:29:41,FALSE,NA,"555220181623246848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DCXVindustries",1,TRUE,FALSE,NA,NA
"@DCXVindustries saw your banner @askRegions #Bordeaux",FALSE,1,"DCXVindustries",2015-01-14 04:27:35,FALSE,NA,"555219654332129280","324747381","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Muzixity",1,FALSE,FALSE,NA,NA
"@askRegions I need to talk to a representative very dearly right now!!",FALSE,0,"askRegions",2015-01-14 01:49:53,FALSE,NA,"555179967617564674","402318272","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SombreroRomero",0,FALSE,FALSE,NA,NA
